last_name,first_name,player_id,year,b_total_pa,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,slg_percent,on_base_percent,on_base_plus_slg,b_catcher_interf,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,
Pujols,Albert,405395,2021,296,45,3,0,17,45,14,.433,.284,.717,0,5,44,86,19,18,
Cabrera,Miguel,408234,2021,526,90,16,0,15,118,40,.386,.316,.701,0,5,72,131,24,13,
Rivera,Rene,425784,2021,78,11,3,0,2,29,4,.362,.282,.644,0,2,4,19,2,2,
Wainwright,Adam,425794,2021,74,5,2,0,0,25,3,.158,.135,.293,0,0,5,31,2,1,
Molina,Yadier,425877,2021,473,81,19,0,11,79,24,.370,.296,.666,1,5,85,118,27,23,
Suzuki,Kurt,435559,2021,247,35,8,0,6,44,12,.342,.291,.634,0,11,37,60,19,14,
CruzJr.,Nelson,443558,2021,584,82,21,1,32,126,51,.497,.332,.829,4,7,69,129,23,35,
Peralta,David,444482,2021,538,80,30,8,8,92,46,.402,.325,.728,0,3,50,166,29,25,
Pina,Manny,444489,2021,208,15,6,0,13,38,22,.439,.293,.732,0,5,30,48,17,14,
Escobar,Alcides,444876,2021,349,65,21,2,4,56,17,.404,.338,.742,0,9,39,95,27,14,
Longoria,Evan,446334,2021,291,36,17,0,13,68,35,.482,.351,.833,0,1,39,59,13,8,
Morton,Charlie,450203,2021,62,6,1,0,0,31,0,.145,.113,.258,0,0,4,16,2,2,
Lester,Jon,452657,2021,51,5,2,0,1,24,2,.271,.196,.467,0,0,1,13,1,2,
Cabrera,Asdrubal,452678,2021,352,43,21,0,7,80,36,.366,.313,.678,0,3,49,78,15,19,
Scherzer,Max,453286,2021,63,0,0,0,0,28,0,.000,.000,.000,0,0,5,27,3,0,
Blackmon,Charlie,453568,2021,582,97,25,4,13,91,54,.411,.351,.761,0,11,68,158,35,25,
Maldonado,Martin,455117,2021,426,41,10,1,12,127,47,.300,.272,.573,0,5,60,85,21,17,
Chirinos,Robinson,455139,2021,112,11,5,1,5,36,9,.454,.321,.775,0,5,14,16,3,7,
Cain,Lorenzo,456715,2021,286,45,13,0,8,48,26,.401,.329,.729,0,2,38,75,21,10,
Solano,Donovan,456781,2021,344,62,17,0,7,58,25,.404,.343,.747,0,7,57,80,25,6,
McCutchen,Andrew,457705,2021,574,55,24,1,27,132,81,.444,.334,.778,0,4,74,120,30,25,
Upton,Justin,457708,2021,362,38,12,0,17,107,39,.409,.296,.704,1,1,41,70,17,19,
Turner,Justin,457759,2021,612,99,22,0,27,98,61,.471,.361,.832,0,12,111,109,39,30,
PoseyIII,Buster,457763,2021,454,79,23,0,18,87,56,.499,.390,.889,0,1,45,113,19,13,
Votto,Joey,458015,2021,533,59,23,1,36,127,77,.563,.375,.938,0,4,73,92,26,15,
Gardner,Brett,458731,2021,461,56,16,4,10,100,60,.362,.323,.685,0,3,52,103,25,30,
Joyce,Matt,459964,2021,69,2,1,0,2,16,12,.218,.261,.479,0,1,10,17,5,3,
Romine,Andrew,461865,2021,64,8,2,0,1,24,4,.267,.234,.501,0,0,5,15,5,0,
Andrus,Elvis,462101,2021,541,91,25,2,3,81,31,.320,.292,.612,0,6,63,155,52,30,
Sandoval,Pablo,467055,2021,86,9,0,0,4,25,11,.342,.302,.645,0,2,8,14,8,5,
Ramos,Wilson,467092,2021,163,18,5,0,8,36,9,.397,.245,.643,2,0,17,50,11,7,
Santana,Carlos,467793,2021,659,87,15,0,19,102,86,.342,.319,.660,0,3,99,169,38,41,
Parra,Gerardo,467827,2021,107,16,5,0,2,30,6,.351,.290,.640,0,2,18,19,7,1,
Mercer,Jordy,474568,2021,127,21,7,0,2,34,9,.364,.307,.671,0,0,12,26,8,8,
Belt,Brandon,474832,2021,381,44,14,2,29,103,48,.597,.378,.975,0,7,55,49,13,16,
Zimmerman,Ryan,475582,2021,273,32,16,0,14,77,16,.471,.286,.756,0,0,23,68,16,11,
Lowrie,Jed,476704,2021,512,70,28,0,14,108,49,.398,.318,.717,0,2,85,106,29,20,
Avila,Alex,488671,2021,111,6,9,1,1,37,19,.348,.342,.691,0,2,13,20,2,1,
BrantleyJr.,Michael,488726,2021,508,106,29,3,8,53,33,.437,.362,.799,0,5,66,141,48,15,
Castro,Jason,488771,2021,179,20,7,0,8,54,25,.443,.352,.795,0,3,20,29,10,3,
Miley,Wade,489119,2021,59,7,3,0,0,13,3,.241,.220,.461,0,0,4,23,4,2,
Gurriel,Yuli,493329,2021,605,123,31,0,15,68,59,.462,.383,.846,0,4,83,131,45,41,
Rojas,Miguel,500743,2021,539,89,30,3,9,74,37,.392,.321,.713,0,5,76,139,43,34,
Escobar,Eduardo,500871,2021,599,80,26,5,28,124,48,.472,.314,.786,0,1,103,102,37,44,
